Id,Name,Storage,Interface,Buffer,Speed,Price,Recommended,Link
23,WD Purple WD30PURZ,3 ТБ,SATA III,64 МБ,5400 об/мин,10 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd30purz-3tb-hdd-sata-iii-3-5-475848/
24,SEAGATE Skyhawk ST4000VX007,4 ТБ,SATA III,64 МБ,5900 об/мин,13 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-skyhawk-st4000vx007-4tb-hdd-sata-iii-3-5-385631/
25,TOSHIBA P300 HDWD105UZSVA,500 ГБ,SATA III,64 МБ,7200 об/мин,2990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd105uzsva-500gb-hdd-sata-iii-3-5-325521/
26,TOSHIBA P300 HDWD130UZSVA,3 ТБ,SATA III,64 МБ,7200 об/мин,7990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd130uzsva-3tb-hdd-sata-iii-3-5-330481/
27,WD Blue WD5000AZRZ,500 ГБ,SATA III,64 МБ,5400 об/мин,3150,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd5000azrz-500gb-hdd-sata-iii-3-5-318869/
28,SEAGATE Ironwolf ST4000VN008,4 ТБ,SATA III,64 МБ,5900 об/мин,17 290,0,https://www.citilink.ru/product/zhestkii-disk-seagate-ironwolf-st4000vn008-4tb-hdd-sata-iii-3-5-385641/
29,SEAGATE Barracuda ST500LM030,500 ГБ,SATA III,128 МБ,5400 об/мин,2890,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st500lm030-500gb-hdd-sata-iii-2-5-396888/
30,TOSHIBA L200 Slim HDWK105UZSVA,500 ГБ,SATA III,8 МБ,5400 об/мин,2890,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-slim-hdwk105uzsva-500gb-hdd-sata-iii-2-5-382692/
31,WD Blue WD5000AZLX,500 ГБ,SATA III,32 МБ,7200 об/мин,2990,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd5000azlx-500gb-hdd-sata-iii-3-5-339305/
32,WD Purple WD82PURZ,8 ТБ,SATA III,256 МБ,7200 об/мин,33 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd82purz-8tb-hdd-sata-iii-3-5-1146697/
33,WD Red WD20EFAX,2 ТБ,SATA III,256 МБ,5400 об/мин,8190,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd20efax-2tb-hdd-sata-iii-3-5-1159443/
34,TOSHIBA L200 HDWL120EZSTA,2 ТБ,SATA III,128 МБ,5400 об/мин,6490,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-hdwl120ezsta-2tb-hdd-sata-iii-2-5-rtl-1064628/
35,TOSHIBA P300 HDWD130EZSTA,3 ТБ,SATA III,64 МБ,7200 об/мин,7990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd130ezsta-3tb-hdd-sata-iii-3-5-rtl-371754/
36,TOSHIBA L200 HDWL120UZSVA,2 ТБ,SATA III,128 МБ,5400 об/мин,6390,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-hdwl120uzsva-2tb-hdd-sata-iii-2-5-1064626/
37,TOSHIBA L200 HDWJ105UZSVA,500 ГБ,SATA II,8 МБ,5400 об/мин,2890,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-hdwj105uzsva-500gb-hdd-sata-ii-2-5-325514/
38,TOSHIBA P300 HDWD220UZSVA,2 ТБ,SATA III,128 МБ,5400 об/мин,4890,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-2tb-hdwd220uzsva-p300-5400rpm-128mb-3-5-1411201/
39,SEAGATE Barracuda ST500DM009,500 ГБ,SATA III,32 МБ,7200 об/мин,2950,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st500dm009-500gb-hdd-sata-iii-3-5-385616/
40,WD Blue WD20SPZX,2 ТБ,SATA III,128 МБ,5400 об/мин,6490,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd20spzx-2tb-hdd-sata-iii-2-5-1075884/
41,WD Black WD1003FZEX,1 ТБ,SATA III,64 МБ,7200 об/мин,7390,0,https://www.citilink.ru/product/zhestkii-disk-wd-black-wd1003fzex-1tb-hdd-sata-iii-3-5-860904/
42,TOSHIBA X300 HDWE140UZSVA,4 ТБ,SATA III,128 МБ,7200 об/мин,15 090,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-x300-hdwe140uzsva-4tb-hdd-sata-iii-3-5-361672/
43,WD Blue WD20EZBX,2 ТБ,SATA III,256 МБ,7200 об/мин,5690,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-2tb-wd20ezbx-blue-7200rpm-256mb-3-5-1473408/
44,WD Purple WD60PURZ,6 ТБ,SATA III,64 МБ,5400 об/мин,28 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd60purz-6tb-hdd-sata-iii-3-5-475850/
45,WD Gold WD2005FBYZ,2 ТБ,SATA III,128 МБ,7200 об/мин,10 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-gold-wd2005fbyz-2tb-hdd-sata-iii-3-5-415118/
46,TOSHIBA L200 Slim HDWL110EZSTA,1 ТБ,SATA III,128 МБ,5400 об/мин,3390,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-slim-hdwl110ezsta-1tb-hdd-sata-iii-2-5-rtl-1064627/
47,WD Red WD10EFRX,1 ТБ,SATA III,64 МБ,5400 об/мин,6190,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd10efrx-1tb-hdd-sata-iii-3-5-700827/
48,WD Purple WD62PURZ,6 ТБ,SATA III,128 МБ,5640 об/мин,30 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd62purz-6tb-sata-iii-3-5-1471148/
49,SEAGATE Skyhawk ST3000VX009,3 ТБ,SATA III,256 МБ,5400 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-skyhawk-st3000vx009-3tb-hdd-sata-iii-3-5-1063165/
50,WD Ultrastar DC HC310 HUS726T6TALE6L4,6 ТБ,SATA III,256 МБ,7200 об/мин,28 490,0,https://www.citilink.ru/product/zhestkii-disk-wd-ultrastar-dc-hc310-hus726t6tale6l4-6tb-hdd-sata-iii-3-1097739/
51,SEAGATE Ironwolf ST2000VN004,2 ТБ,SATA III,64 МБ,5900 об/мин,7990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-ironwolf-st2000vn004-2tb-hdd-sata-iii-3-5-385636/
52,WD Blue WD40EZAZ,4 ТБ,SATA III,256 МБ,5400 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-4tb-wd40ezaz-blue-5400rpm-256mb-3-5-1478596/
53,WD Gold WD1005FBYZ,1 ТБ,SATA III,128 МБ,7200 об/мин,7790,0,https://www.citilink.ru/product/zhestkii-disk-wd-gold-wd1005fbyz-1tb-hdd-sata-iii-3-5-415120/
54,TOSHIBA X300 HDWE140EZSTA,4 ТБ,SATA III,128 МБ,7200 об/мин,14 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-x300-hdwe140ezsta-4tb-hdd-sata-iii-3-5-rtl-330482/
55,SEAGATE Barracuda ST500LM034,500 ГБ,SATA III,128 МБ,7200 об/мин,3690,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st500lm034-500gb-hdd-sata-iii-2-5-1068638/
56,WD Ultrastar DC HC310 HUS726T4TALE6L4,4 ТБ,SATA III,256 МБ,7200 об/мин,17 490,0,https://www.citilink.ru/product/zhestkii-disk-wd-ultrastar-dc-hc310-hus726t4tale6l4-4tb-hdd-sata-iii-3-1082121/
57,SEAGATE Barracuda ST2000LM015,2 ТБ,SATA III,128 МБ,5400 об/мин,6490,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st2000lm015-2tb-hdd-sata-iii-2-5-385615/
58,SEAGATE Barracuda ST3000DM007,3 ТБ,SATA III,256 МБ,5400 об/мин,9490,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st3000dm007-3tb-hdd-sata-iii-3-5-1013009/
59,TOSHIBA X300 HDWE160UZSVA,6 ТБ,SATA III,128 МБ,7200 об/мин,29 790,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-x300-hdwe160uzsva-6tb-hdd-sata-iii-3-5-360467/
60,WD Black WD2003FZEX,2 ТБ,SATA III,64 МБ,7200 об/мин,13 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-black-wd2003fzex-2tb-hdd-sata-iii-3-5-851387/
61,WD Gold WD4003FRYZ,4 ТБ,SATA III,256 МБ,7200 об/мин,20 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-gold-wd4003fryz-4tb-hdd-sata-iii-3-5-1170788/
62,WD Ultrastar DC HA210 HUS722T2TALA604,2 ТБ,SATA III,128 МБ,7200 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-ultrastar-dc-ha210-hus722t2tala604-2tb-hdd-sata-iii-3-1122377/
63,WD Red WD60EFAX,6 ТБ,SATA III,256 МБ,5400 об/мин,25 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd60efax-6tb-hdd-sata-iii-3-5-1146659/
64,SEAGATE Exos 7E8 ST4000NM002A,4 ТБ,SATA III,256 МБ,7200 об/мин,19 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-7e8-st4000nm002a-4tb-hdd-sata-iii-3-5-1211588/
65,SEAGATE Exos ST1000NM0008,1 ТБ,SATA III,128 МБ,7200 об/мин,7390,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-st1000nm0008-1tb-hdd-sata-iii-3-5-459118/
66,TOSHIBA S300 HDWT740UZSVA,4 ТБ,SATA III,128 МБ,5400 об/мин,17 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-s300-hdwt740uzsva-4tb-hdd-sata-iii-3-5-1413617/
67,TOSHIBA X300 HDWR180EZSTA,8 ТБ,SATA III,256 МБ,7200 об/мин,46 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-8tb-hdwr180ezsta-x300-7200rpm-256mb-3-5-1397002/
68,WD Red WD10JFCX,1 ТБ,SATA III,16 МБ,5400 об/мин,7990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd10jfcx-1tb-hdd-sata-iii-2-5-805003/
69,SEAGATE Exos 7E8 ST6000NM002A,6 ТБ,SATA III,256 МБ,7200 об/мин,34 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-7e8-st6000nm002a-6tb-hdd-sata-iii-3-5-1174868/
70,TOSHIBA X300 HDWR160EZSTA,6 ТБ,SATA III,256 МБ,7200 об/мин,27 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-6tb-hdwr160ezsta-x300-7200rpm-256mb-3-5-1408359/
71,WD Caviar Black WD5003AZEX,500 ГБ,SATA III,64 МБ,7200 об/мин,6690,0,https://www.citilink.ru/product/zhestkii-disk-wd-caviar-black-wd5003azex-500gb-hdd-sata-iii-3-5-706991/
72,TOSHIBA S300 HDWT720UZSVA,2 ТБ,SATA III,128 МБ,5400 об/мин,5990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-s300-hdwt720uzsva-2tb-sata-iii-3-5-1432463/
73,WD Black WD4005FZBX,4 ТБ,SATA III,256 МБ,7200 об/мин,29 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-black-wd4005fzbx-4tb-hdd-sata-iii-3-5-1073366/
74,TOSHIBA Enterprise Capacity MG04ACA200E,2 ТБ,SATA III,128 МБ,7200 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-enterprise-capacity-mg04aca200e-2tb-hdd-sata-iii-1032545/
75,WD Red Pro WD6003FFBX,6 ТБ,SATA III,256 МБ,7200 об/мин,34 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-pro-wd6003ffbx-6tb-hdd-sata-iii-3-5-1048429/
76,WD Blue WD60EZAZ,6 ТБ,SATA III,256 МБ,5400 об/мин,26 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd60ezaz-6tb-hdd-sata-iii-3-5-1209465/
77,SEAGATE Ironwolf ST3000VN007,3 ТБ,SATA III,64 МБ,5900 об/мин,11 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-ironwolf-st3000vn007-3tb-hdd-sata-iii-3-5-385638/
78,SEAGATE Ironwolf Pro ST4000NE001,4 ТБ,SATA III,128 МБ,7200 об/мин,21 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-ironwolf-pro-st4000ne001-4tb-hdd-sata-iii-3-5-1168814/
79,WD Red WD30EFAX,3 ТБ,SATA III,256 МБ,5400 об/мин,11 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd30efax-3tb-hdd-sata-iii-3-5-1209005/
80,TOSHIBA N300 HDWQ140UZSVA,4 ТБ,SATA III,128 МБ,7200 об/мин,15 390,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-n300-hdwq140uzsva-4tb-hdd-sata-iii-3-5-bulk-419790/
81,WD Black WD6003FZBX,6 ТБ,SATA III,256 МБ,7200 об/мин,35 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-black-wd6003fzbx-6tb-hdd-sata-iii-3-5-1073398/
82,WD Blue WD30EZAZ,3 ТБ,SATA III,256 МБ,5400 об/мин,9490,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-3tb-wd30ezaz-blue-5400rpm-256mb-3-5-1478587/
83,SEAGATE Barracuda ST4000LM024,4 ТБ,SATA III,128 МБ,5400 об/мин,19 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st4000lm024-4tb-hdd-sata-iii-2-5-402092/
84,WD Red Pro WD2002FFSX,2 ТБ,SATA III,64 МБ,7200 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-pro-wd2002ffsx-2tb-hdd-sata-iii-3-5-372817/
85,WD Ultrastar DC HC310 HUS726T4TALA6L4,4 ТБ,SATA III,256 МБ,7200 об/мин,19 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-ultrastar-dc-hc310-hus726t4tala6l4-4tb-hdd-sata-iii-3-1113589/
86,SEAGATE Ironwolf Pro ST6000NE000,6 ТБ,SATA III,256 МБ,7200 об/мин,28 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-ironwolf-pro-st6000ne000-6tb-hdd-sata-iii-3-5-1168818/
87,TOSHIBA S300 HDWV110UZSVA,1 ТБ,SATA III,64 МБ,5700 об/мин,3990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-s300-hdwv110uzsva-1tb-sata-iii-3-5-1468549/
88,WD Red Plus WD60EFZX,6 ТБ,SATA III,128 МБ,5640 об/мин,34 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-6tb-wd60efzx-nas-red-plus-5400rpm-1-1478610/
89,WD Ultrastar DC HA210 HUS722T1TALA604,1 ТБ,SATA III,128 МБ,7200 об/мин,8390,0,https://www.citilink.ru/product/zhestkii-disk-wd-ultrastar-dc-ha210-hus722t1tala604-1tb-hdd-sata-iii-3-1082141/
90,SEAGATE Exos 7E8 ST2000NM000A,2 ТБ,SATA III,256 МБ,7200 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-7e8-st2000nm000a-2tb-sata-iii-3-5-1466622/
91,SEAGATE Barracuda ST5000LM000,5 ТБ,SATA III,128 МБ,5400 об/мин,23 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st5000lm000-5tb-hdd-sata-iii-2-5-396889/
92,SEAGATE Exos 7E8 ST1000NM000A,1 ТБ,SATA III,256 МБ,7200 об/мин,10 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-7e8-st1000nm000a-1tb-hdd-sata-iii-3-5-1207271/
93,TOSHIBA Enterprise Capacity MG04ACA100N,1 ТБ,SATA III,128 МБ,7200 об/мин,8990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-enterprise-capacity-mg04aca100n-1tb-hdd-sata-iii-1092794/
94,WD Red Plus WD30EFZX,3 ТБ,SATA III,128 МБ,5400 об/мин,11 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-3tb-wd30efzx-nas-red-plus-5400rpm-1-1478605/
95,SEAGATE Exos ST2000NX0253,2 ТБ,SATA III,128 МБ,7200 об/мин,27 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-st2000nx0253-2tb-hdd-sata-iii-2-5-386229/
96,WD Ultrastar DC HC310 HUS726T4TALE6L4,4 ТБ,SATA III,256 МБ,7200 об/мин,17 490,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-4tb-0b36040-hus726t4tale6l4-ultrastar-dc-hc3-1520839/
97,WD Red Plus WD20EFZX,2 ТБ,SATA III,128 МБ,5400 об/мин,10 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-2tb-wd20efzx-nas-red-plus-5400rpm-1-1478604/
98,WD Ultrastar DC HC310 HUS726T4TALA6L4,4 ТБ,SATA III,256 МБ,7200 об/мин,19 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-4tb-0b35950-hus726t4tala6l4-ultrastar-dc-hc3-1520836/
99,TOSHIBA X300 HDWR160UZSVA,6 ТБ,SATA III,256 МБ,7200 об/мин,27 990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-6tb-hdwr160uzsva-x300-7200rpm-256mb-3-5-1508713/
100,TOSHIBA P300 HDWD220EZSTA,2 ТБ,SATA III,128 МБ,5400 об/мин,4990,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-2tb-hdwd220ezsta-p300-5400rpm-128mb-3-5-1515233/
101,SEAGATE Exos ST1000NX0313,1 ТБ,SATA III,128 МБ,7200 об/мин,16 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-exos-st1000nx0313-1tb-hdd-sata-iii-2-5-365122/
102,WD Red Pro WD2002FFSX,2 ТБ,SATA III,64 МБ,7200 об/мин,12 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-2tb-wd2002ffsx-red-pro-7200rpm-64mb-3-5-1522081/
103,WD Purple WD62PURZ,6 ТБ,SATA III,128 МБ,5640 об/мин,28 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-6tb-wd62purz-purple-5640rpm-128mb-3-5-1520856/
104,WD Purple WD40PURZ,4 ТБ,SATA III,64 МБ,5400 об/мин,19 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-4tb-wd40purz-purple-5400rpm-64mb-3-5-1522079/
105,WD Red Pro WD6003FFBX,6 ТБ,SATA III,256 МБ,7200 об/мин,34 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-sata-iii-6tb-wd6003ffbx-red-pro-7200rpm-256mb-3-5-1522077/
106,WD Red Plus WD80EFBX,8 ТБ,SATA III,256 МБ,7200 об/мин,35 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-8tb-wd80efbx-nas-red-plus-7200rpm-2-1478612/
107,WD Red WD20EFRX,2 ТБ,SATA III,64 МБ,,7990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-wd20efrx-2tb-hdd-sata-iii-3-5-774634/
108,WD Red Pro WD141KFGX,14 ТБ,SATA III,512 МБ,7200 об/мин,73 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-pro-wd141kfgx-14tb-hdd-sata-iii-3-5-1193025/
109,WD Gold WD8004FRYZ,8 ТБ,SATA III,256 МБ,7200 об/мин,48 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-gold-wd8004fryz-8tb-hdd-sata-iii-3-5-1170792/
110,WD Gold WD6003FRYZ,6 ТБ,SATA III,256 МБ,7200 об/мин,34 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-gold-wd6003fryz-6tb-hdd-sata-iii-3-5-1170789/
111,TOSHIBA V300 HDWU120UZSVA,2 ТБ,SATA III,64 МБ,5700 об/мин,5490,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-v300-hdwu120uzsva-2tb-hdd-sata-iii-3-5-1064619/
112,TOSHIBA V300 HDWU110UZSVA,1 ТБ,SATA III,64 МБ,5700 об/мин,4490,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-v300-hdwu110uzsva-1tb-hdd-sata-iii-3-5-1064616/
113,WD Red Pro WD4003FFBX,4 ТБ,SATA III,256 МБ,7200 об/мин,20 990,0,https://www.citilink.ru/product/zhestkii-disk-wd-red-pro-wd4003ffbx-4tb-hdd-sata-iii-3-5-1048421/
114,SEAGATE Barracuda ST6000DM003,6 ТБ,SATA III,256 МБ,5400 об/мин,20 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st6000dm003-6tb-hdd-sata-iii-3-5-1013013/
115,TOSHIBA P300 HDWD260UZSVA,6 ТБ,SATA III,128 МБ,5400 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd260uzsva-6tb-hdd-sata-iii-3-5-1214370/
116,SEAGATE Barracuda ST2000DM005,2 ТБ,SATA III,256 МБ,5400 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st2000dm005-2tb-hdd-sata-iii-3-5-1076646/
117,SEAGATE Skyhawk ST6000VX001,6 ТБ,SATA III,256 МБ,5400 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-seagate-skyhawk-st6000vx001-6tb-hdd-sata-iii-3-5-1063166/
118,TOSHIBA Enterprise Capacity MG04ACA400E,4 ТБ,SATA III,128 МБ,7200 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-enterprise-capacity-mg04aca400e-4tb-hdd-sata-iii-1032547/
119,Toshiba SATA-III 6Tb HDWT360UZSVA Surveillance S300 Pro 7200rpm 256 плохая упаковка,6 ТБ,SATA III,256 МБ,7200 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-6tb-hdwt360uzsva-surveillance-s300-pro-1522894/
120,Seagate Original SATA-III 8Tb ST8000VE001 SkyHawkAI 7200rpm 256Mb 3 плохая упаковка,8 ТБ,SATA III,256 МБ,7200 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-seagate-original-sata-iii-8tb-st8000ve001-skyhawkai-7200-1521152/
121,Toshiba SATA-III 1Tb HDWL110EZSTA L200 5400rpm 128Mb 2.5\" Rtl плохая упаковка,1 ТБ,SATA III,128 МБ,5400 об/мин,,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-sata-iii-1tb-hdwl110ezsta-l200-5400rpm-128mb-2-5-1191385/
