Id,Name,Latency,Price,Recommended,Link
15,PATRIOT Signature PSD44G266681,CL19,3390,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g266681-ddr4-4gb-2666-dimm-ret-1147805/
16,SAMSUNG M378A2G43MX3-CTD DDR4,CL19,2090,0,https://www.citilink.ru/product/modul-pamyati-samsung-m378a2g43mx3-ctd-ddr4-16gb-2666-dimm-oem-1189779/
17,PATRIOT Viper Steel,CL16,7590,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g300c6-ddr4-8gb-3000-dimm-ret-1148373/
18,PATRIOT Signature PSD48G240081,CL17,4390,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g240081-ddr4-8gb-2400-dimm-ret-389002/
19,AMD Radeon R7,CL16,3790,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2606u2s-uo-ddr4-8g-333705/
20,CORSAIR Vengeance LPX,CL16,3390,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1d3000c16-ddr4-8gb-3000-di-1050643/
21,AMD Radeon R7,CL15,3790,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r744g2133u1s-uo-ddr4-4g-426170/
22,KINGMAX DDR4 -,CL16,1990,0,https://www.citilink.ru/product/modul-pamyati-kingmax-ddr4-4gb-2400-dimm-ret-1019006/
23,KINGSTON HyperX FURY,CL16,1990,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx426c16fb3-8-ddr4-8gb-2666-d-1183635/
24,PATRIOT Signature PSD48G213381,CL15,4290,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g213381-ddr4-8gb-2133-dimm-ret-389001/
25,KINGSTON HyperX FURY,CL15,3690,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx430c15fb3-8-ddr4-8gb-3000-d-1183639/
26,KINGSTON VALUERAM KVR26N19D8/16,CL19,4290,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19d8-16-ddr4-16gb-2666-dimm-ret-1107351/
27,PATRIOT PSD44G240082 DDR4,CL17,8090,0,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g240082-ddr4-4gb-2400-dimm-ret-474601/
28,KINGSTON HyperX FURY,CL15,2090,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx424c15fb3-8-ddr4-8gb-2400-d-1183633/
29,KINGSTON VALUERAM KVR26N19S6/8,CL19,4290,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-8-ddr4-8gb-2666-dimm-ret-1421635/
30,KINGSTON HyperX FURY,CL16,3990,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx430c16fb4-16-ddr4-16gb-3000-1444682/
31,AMD Radeon R7,CL15,8090,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2133u2s-uo-ddr4-8g-380326/
32,PATRIOT PSD44G213382 DDR4,CL15,3390,0,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g213382-ddr4-4gb-2133-dimm-ret-431133/
33,KINGSTON VALUERAM KVR24N17S6/4,CL17,2190,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr24n17s6-4-ddr4-4gb-2400-dimm-ret-1014891/
34,KINGSTON VALUERAM KVR29N21S8/8,CL21,2390,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2933mhz-kingston-kvr29n21s8-8-rtl-pc4-23400-cl19-dimm-1403747/
35,AMD Radeon R7,CL16,4390,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-ddr4-16gb-2666-dimm-oem-1153657/
36,PATRIOT Viper Steel,CL16,6490,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g320c6-ddr4-8gb-3200-dimm-ret-1172741/
37,KINGSTON VALUERAM KVR32N22S8/8,CL22,4390,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32n22s8-8-rtl-pc4-24000-cl22-dimm-1403748/
38,KINGMAX DDR4 -,CL15,4390,0,https://www.citilink.ru/product/modul-pamyati-kingmax-ddr4-4gb-2133-dimm-ret-367187/
39,CORSAIR Value Select,CL15,1990,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv8gx4m1a2133c15-ddr4-8gb-2133-dim-317509/
40,KINGSTON VALUERAM KVR26N19S6/4,CL19,4390,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-4-ddr4-4gb-2666-dimm-ret-1107365/
41,KINGMAX KM-LD4-2666-16GS DDR4,CL19,2390,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingmax-km-ld4-2666-16gs-rtl-pc4-19200-cl17-d-1364684/
42,PATRIOT Signature PSD416G26662,CL19,6390,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd416g26662-ddr4-16gb-2666-dimm-ret-1077812/
43,HYNIX DDR4 -,CL17,7590,0,https://www.citilink.ru/product/modul-pamyati-hynix-ddr4-8gb-2400-dimm-oem-original-1068975/
44,AMD Radeon R7,CL16,3590,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r7416g2400u2s-uo-ddr4-1-1126718/
45,KINGMAX DDR4 -,CL15,6490,0,https://www.citilink.ru/product/modul-pamyati-kingmax-ddr4-8gb-2133-dimm-ret-400808/
46,PATRIOT Viper Elite,CL16,3390,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve416g266c6gy-ddr4-16gb-2666-dimm-r-1163491/
47,CORSAIR Vengeance LPX,CL14,7890,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1a2400c14-ddr4-8gb-2400-di-296428/
48,KINGSTON HyperX FURY,CL16,4390,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx426c16fb4-16-ddr4-16gb-2666-1444751/
49,CRUCIAL Ballistix BL16G26C16U4B,CL16,7890,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2400mhz-crucial-bl16g26c16u4b-oem-pc4-19200-cl16-dimm-1215445/
50,PATRIOT PSD44G240081 DDR4,CL17,7090,0,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g240081-ddr4-4gb-2400-dimm-ret-427738/
51,CORSAIR Value Select,CL18,2090,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv16gx4m1a2666c18-ddr4-16gb-2666-d-498382/
52,PATRIOT Viper Steel,CL16,8990,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g320c6-ddr4-16gb-3200-dimm-ret-1175241/
53,KINGSTON HyperX FURY,CL18,8590,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-3600mhz-kingston-hx436c18fb4-16-rtl-pc4-28800-cl18-di-1454083/
54,KINGSTON HyperX FURY,CL16,8190,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-rgb-hx426c16fb3a-16-ddr4-16gb-1393834/
55,KINGSTON HyperX FURY,CL15,7790,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx424c15fb4-16-ddr4-16gb-2400-1444752/
56,CORSAIR Value Select,CL18,7890,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv8gx4m1a2666c18-ddr4-8gb-2666-dim-1000380/
57,CORSAIR Vengeance LPX,CL16,,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1a2666c16-ddr4-16gb-2666-352485/
58,PATRIOT Signature PSD48G320081,CL22,8990,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-psd48g320081-rtl-pc4-23400-cl19-dimm-2-1422046/
59,CRUCIAL Ballistix RGB,CL16,3990,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-bl8g32c16u4wl-oem-pc4-25600-cl16-dimm-1391156/
60,PATRIOT Viper Steel,CL16,4290,0,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-patriot-pvs432g320c6-rtl-pc4-25600-cl16-dimm-1380683/
61,KINGSTON VALUERAM KVR24N17D8/16,CL17,15 990,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr24n17d8-16-ddr4-16gb-2400-dimm-ret-396458/
62,KINGSTON HyperX Predator,CL13,8190,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-predator-hx426c13pb3-8-ddr4-8gb-2666-dim-1393875/
63,PATRIOT Signature PSD416G24002,CL17,4590,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd416g24002-ddr4-16gb-2400-dimm-ret-1077815/
64,PATRIOT PSD44G266682 DDR4,CL19,7590,0,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g266682-ddr4-4gb-2666-dimm-ret-1083965/
65,PATRIOT Viper Elite,CL16,2090,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve44g266c6gy-ddr4-4gb-2666-dimm-ret-1163486/
66,HYNIX HMA81GU6DJR8N-VKN0 DDR4,CL19,2390,0,https://www.citilink.ru/product/modul-pamyati-hynix-hma81gu6djr8n-vkn-ddr4-8gb-2666-dimm-oem-original-1436190/
67,PATRIOT Signature PSD44G213381,CL15,3590,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g213381-ddr4-4gb-2133-dimm-ret-427790/
68,PATRIOT Viper Steel,CL16,2090,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g300c6-ddr4-16gb-3000-dimm-ret-1175239/
69,KINGSTON VALUERAM KVR26N19S8/16,CL19,8390,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kvr26n19s8-16-rtl-pc4-21300-cl19-dim-1430186/
70,CORSAIR CMV16GX4M1A2133C15 DDR4,CL15,8190,0,https://www.citilink.ru/product/modul-pamyati-corsair-cmv16gx4m1a2133c15-ddr4-16gb-2133-dimm-ret-345441/
71,KINGSTON HyperX FURY,CL15,8990,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-rgb-hx430c15fb3a-16-ddr4-16gb-1393838/
72,PATRIOT Viper Elite,CL16,8890,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve48g240c6gy-ddr4-8gb-2400-dimm-ret-1006321/
73,KINGMAX Zeus Dragon,CL16,4190,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingmax-km-ld4-3200-8ghs-rtl-pc4-25600-cl16-di-1461420/
74,CORSAIR Vengeance LPX,CL16,3690,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1a2666c16r-ddr4-8gb-2666-d-330666/
75,PATRIOT Viper Elite,CL16,4090,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve48g266c6gy-ddr4-8gb-2666-dimm-ret-1147904/
76,CORSAIR Vengeance RGB,CL18,4090,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-rgb-pro-cmw16gx4m1z3600c18-ddr4-2x-8gb-1436147/
77,PATRIOT Signature PSD416G266681,CL19,10 990,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-patriot-psd416g266681-rtl-pc4-21300-cl19-dimm-1391625/
78,KINGSTON HyperX Predator,CL13,7590,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-predator-hx426c13pb3-16-ddr4-16gb-2666-d-1393881/
79,CRUCIAL Ballistix BL16G26C16U4R,CL16,8590,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-crucial-bl16g26c16u4r-oem-pc4-21300-cl16-dimm-1391115/
80,KINGSTON VALUERAM KVR32N22S6/8,CL22,6890,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32n22s6-8-rtl-pc4-25600-cl22-dimm-1430233/
81,HYNIX HMA81GU6DJR8N-XNN0 DDR4,CL22,4390,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-hynix-hma81gu6djr8n-xnn-oem-pc4-24000-cl17-dim-1391518/
82,HYNIX HMA81GU6CJR8N-XNN0 DDR4,CL22,3690,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-hynix-hma81gu6cjr8n-xnn0-oem-pc4-25600-cl22-di-1426542/
83,CORSAIR Value Select,CL18,3690,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv4gx4m1a2666c18-ddr4-4gb-2666-dim-498380/
84,CRUCIAL Ballistix RGB,CL16,2490,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-bl8g32c16u4rl-oem-pc4-25600-cl16-dimm-1391211/
85,CRUCIAL Ballistix BL8G32C16U4B,CL16,4290,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-bl8g32c16u4b-oem-pc4-25600-cl16-dimm-2-1385060/
86,PATRIOT Signature PSD44G240041,CL17,3990,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g240041-ddr4-4gb-2400-dimm-ret-374513/
87,PATRIOT Signature PSP48G266681H1,CL19,2090,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psp48g266681h1-ddr4-8gb-2666-dimm-ret-1460379/
88,CORSAIR Vengeance RGB,CL16,3890,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-rgb-pro-cm4x8gd3200c16w4-ddr4-8gb-3200-1176200/
89,CORSAIR Vengeance LPX,CL14,4990,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1a2400c14r-ddr4-8gb-2400-d-296429/
90,CORSAIR Vengeance LPX,CL16,,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1a2400c16-ddr4-16gb-2400-431318/
91,KINGSTON HyperX Predator,CL16,8590,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3333mhz-kingston-hx433c16pb3-8-rtl-pc4-26600-cl16-dimm-1403757/
92,KINGSTON HyperX Predator,CL17,4890,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3600mhz-kingston-hx436c17pb4-8-rtl-pc4-28800-cl16-dimm-1403758/
93,KINGSTON VALUERAM KVR29N21S6/8,CL21,5190,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2933mhz-kingston-kvr29n21s6-8-rtl-pc4-23400-cl21-dimm-1430245/
94,KINGSTON HyperX FURY,CL16,4390,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx426c16fb3-32-ddr4-32gb-2666-1393867/
95,HYNIX HMA81GU6CJR8N-VKN0 DDR4,CL19,2590,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-hynix-hma81gu6cjr8n-vkn0-oem-pc4-23466-cl22-di-1457492/
96,CORSAIR Vengeance LPX,CL16,3590,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk4gx4m1a2400c16-ddr4-4gb-2400-di-352776/
97,PATRIOT Viper Steel,CL16,2690,0,https://www.citilink.ru/product/pamyat-ddr4-32gb-3000mhz-patriot-pvs432g300c6-rtl-pc4-24000-cl16-dimm-1380682/
98,CORSAIR Value Select,CL16,15 390,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv16gx4m1a2400c16-ddr4-16gb-2400-d-458806/
99,PATRIOT Viper Elite,CL16,8690,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve44g240c6gy-ddr4-4gb-2400-dimm-ret-498704/
100,CORSAIR Vengeance LPX,CL14,2290,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1a2400c14-ddr4-16gb-2400-352483/
101,PATRIOT Signature Premium,CL19,8990,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2400mhz-patriot-psp416g266681h1-rtl-pc4-21300-cl17-di-1437304/
102,KINGSTON HyperX Predator,CL16,7790,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-hx432c16pb3a-8-rtl-pc4-25600-cl16-dim-1403755/
103,KINGSTON HyperX FURY,CL15,5290,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx424c15fb3-32-ddr4-32gb-2400-1393866/
104,PATRIOT Signature PSP48G320081H1,CL22,16 590,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psp48g320081h1-ddr4-8gb-3200-dimm-ret-1460395/
105,CORSAIR Value Select,CL16,3990,0,https://www.citilink.ru/product/modul-pamyati-corsair-value-select-cmv8gx4m1a2400c16-ddr4-8gb-2400-dim-458807/
106,AMD Radeon R7,CL19,4390,0,https://www.citilink.ru/product/pamyat-ddr4-32gb-2666mhz-amd-r7432g2606u2s-uo-oem-pc4-21300-cl16-dimm-1394728/
107,KINGSTON HyperX FURY,CL15,13 990,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-rgb-hx424c15fb3a-16-ddr4-16gb-1393693/
108,KINGSTON HyperX Predator,CL17,7890,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3600mhz-kingston-hx436c17pb4a-8-rtl-pc4-28800-cl16-dim-1403761/
109,CORSAIR Vengeance LPX,CL14,5190,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk4gx4m1a2400c14-ddr4-4gb-2400-di-296425/
110,CRUCIAL Ballistix RGB,CL16,2190,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-bl8g32c16u4bl-oem-pc4-25600-cl16-dimm-1391144/
111,KINGSTON HyperX FURY,CL15,4590,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx424c15fb3-16-ddr4-16gb-2400-1393661/
112,PATRIOT Signature Premium,CL19,7890,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-premium-psp416g26662h1-ddr4-16gb-2666-1391740/
113,PATRIOT Signature PSP48G240081H1,CL17,7890,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psp48g240081h1-ddr4-8gb-2400-dimm-ret-1460367/
114,CORSAIR Vengeance RGB,CL16,3990,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-corsair-cm4x16gc3200c16w2e-oem-pc4-25600-cl16-1467437/
115,PATRIOT Signature PSD432G26662,CL19,9990,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd432g26662-ddr4-32gb-2666-dimm-ret-1460276/
116,PATRIOT Signature PSD432G32002,CL22,15 190,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd432g32002-ddr4-32gb-3200-dimm-ret-1460281/
117,SAMSUNG M378A1K43CB2-CTD DDR4,CL19,15 190,0,https://www.citilink.ru/product/modul-pamyati-samsung-m378a1k43cb2-ctd-ddr4-8gb-2666-dimm-oem-1075158/
118,SAMSUNG M378A2G43AB3-CWE DDR4,CL22,3590,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-samsung-m378a2g43ab3-cwe-oem-pc4-25600-cl16-2-1482931/
119,PATRIOT Signature PSD416G32002,CL22,8290,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-patriot-psd416g32002-rtl-pc4-25600-cl22-288-p-1509242/
120,SAMSUNG M378A1K43EB2-CWE DDR4,CL21,7990,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-samsung-m378a1k43eb2-cwe-oem-pc4-25600-cl21-28-1512773/
121,CORSAIR Vengeance LPX,CL16,4290,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1a2400c16r-ddr4-8gb-2400-d-352781/
122,KINGMAX Zeus Dragon,CL16,4290,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingmax-km-ld4-3200-8ghs-r-rtl-pc4-25600-cl17-1478633/
123,CRUCIAL CT16G4DFRA266 DDR4,CL19,3690,0,https://www.citilink.ru/product/modul-pamyati-crucial-ct16g4dfra266-ddr4-16gb-2666-dimm-ret-1421546/
124,SAMSUNG M378A1K43DB2-CTD DDR4,CL19,6490,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-samsung-m378a1k43db2-ctd-oem-pc4-21300-cl19-di-1411978/
125,KINGSTON VALUERAM KVR26N19S8/8,CL19,3290,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingston-kvr26n19s8-8-oem-pc4-21300-cl19-dimm-1400563/
126,HYNIX HMA82GU6AFR8N-UHN0 DDR4,CL17,3890,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2400mhz-hynix-hma82gu6afr8n-uhn0-oem-pc4-19200-cl19-d-1397440/
127,CRUCIAL Ballistix MAX,CL18,6690,0,https://www.citilink.ru/product/modul-pamyati-crucial-ballistix-max-blm8g40c18u4b-ddr4-8gb-4000-dimm-r-1394193/
128,KINGSTON HyperX FURY,CL16,7590,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx432c16fb3-32-ddr4-32gb-3200-1393869/
129,KINGSTON HyperX FURY,CL17,16 590,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-rgb-hx436c17fb3a-16-ddr4-16gb-1393861/
130,CRUCIAL Ballistix BL16G26C16U4W,CL16,8390,0,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-crucial-bl16g26c16u4w-oem-pc4-21300-cl16-dimm-1391051/
131,PATRIOT Viper Steel,CL18,6890,0,https://www.citilink.ru/product/pamyat-ddr4-32gb-3600mhz-patriot-pvs432g360c8-rtl-pc4-28800-cl16-dimm-1380684/
132,PATRIOT Viper Elite,CL16,15 990,0,https://www.citilink.ru/product/modul-pamyati-patriot-viper-elite-pve416g240c6gy-ddr4-16gb-2400-dimm-r-1172860/
133,CRUCIAL Ballistix BL8G26C16U4B,CL16,7990,0,https://www.citilink.ru/product/modul-pamyati-crucial-ballistix-bl8g26c16u4b-ddr4-8gb-2666-dimm-oem-1215442/
134,CRUCIAL CT8G4DFRA266 DDR4,CL19,3690,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-crucial-ct8g4dfra266-oem-pc4-21300-cl19-dimm-2-1414657/
135,KINGSTON HyperX FURY,CL15,,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx424c15fb3-4-ddr4-4gb-2400-d-497882/
136,KINGSTON HyperX FURY,CL16,,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-rgb-hx432c16fb3a-16-ddr4-16gb-1393858/
137,CRUCIAL Ballistix RGB,CL15,,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-3000mhz-crucial-bl8g30c15u4bl-oem-pc4-24000-cl15-dimm-1385172/;
