Id,Name,Socket,Core,Thread,Frequency,Frequency_bost,Cahe,Price,Recommended,Link
176,INTEL Core i5 10600KF,LGA 1200,6,12,4.1,4.8,12,17 390,0,https://www.citilink.ru/product/processor-intel-core-i5-10600kf-lga-1200-oem-1420522/
177,INTEL Core i7 10700K,LGA 1200,8,16,3.8,5.1,16,30 390,0,https://www.citilink.ru/product/processor-intel-core-i7-10700k-soc-1200-3-8ghz-iuhdg630-oem-1402428/
178,INTEL Core i7 10700,LGA 1200,8,16,2.9,4.8,16,25 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700-soc-1200-cm8070104282327s-rh6y-1393779/
179,INTEL Core i7 10700,LGA 1200,8,16,2.9,4.8,16,26 490,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700-soc-1200-bx8070110700-s-rh6y-2-1393778/
180,INTEL Core i7 10700K,LGA 1200,8,16,3.8,5.1,16,30 390,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700k-soc-1200-cm8070104282436s-rh72-1388768/
181,INTEL Core i5 10500,LGA 1200,6,12,3.1,4.5,12,18 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10500-soc-1200-cm8070104290511s-rh3a-1363359/
182,INTEL Pentium Gold G6500,LGA 1200,2,4,4.1,,4,9590,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6500-soc-1200-cm8070104291610s-rh3u-1363346/
183,INTEL Core i5 9600KF,LGA 1151v2,6,6,3.7,4.6,9,16 690,0,https://www.citilink.ru/product/processor-intel-core-i5-9600kf-lga-1151v2-box-bez-kulera-bx80684i59600-1203711/
184,INTEL Core i7 9700KF,LGA 1151v2,8,8,3.6,4.9,12,23 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700kf-lga-1151v2-oem-cm8068403874220s-rg16-1193886/
185,INTEL Core i3 9100,LGA 1151v2,4,4,3.6,4.2,6,16 290,0,https://www.citilink.ru/product/processor-intel-core-i3-9100-lga-1151v2-oem-cm8068403377319s-rczv-1139047/
186,INTEL Core i3 8100,LGA 1151v2,4,4,3.6,,6,15 590,0,https://www.citilink.ru/product/processor-intel-core-i3-8100-lga-1151v2-box-1049674/
187,INTEL Core i5 9400F,LGA 1151v2,6,6,2.9,4.1,9,14 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9400f-lga-1151v2-oem-1209500/
188,AMD Ryzen 3 2200G,SocketAM4,4,4,3.5,3.7,4,,0,https://www.citilink.ru/product/processor-amd-ryzen-3-2200g-socketam4-oem-yd2200c5m4mfb-1051625/
189,AMD Ryzen 3 3200G,SocketAM4,4,4,3.6,4,4,,0,https://www.citilink.ru/product/processor-amd-ryzen-3-3200g-socketam4-oem-yd3200c5m4mfh-1151428/
190,AMD Ryzen 5 2400G,SocketAM4,4,8,3.6,3.9,4,,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2400g-socketam4-box-yd2400c5fbbox-1029385/
